"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,0,0,13,1,0,0,0,24,25,0.04,0.04,0.04,0.08,0.035,573186
2019,1,0,11,3,1,0,1,19,25,0.208,0.24,0.375,0.615,0.258,606956
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,446321
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,628452
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,605151
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,672773
2019,0,0,1,1,0,0,0,1,2,0.5,0.5,0.5,1,0.435,571510
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,592717
2019,0,0,3,0,0,0,0,4,4,0,0,0,0,0,625643
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,592229
2019,5,0,21,20,5,0,4,78,112,0.271,0.304,0.43,0.734,0.31,643289
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,592612
2019,9,1,23,8,4,2,7,56,87,0.273,0.356,0.649,1.005,0.407,656541
2019,1,0,2,1,0,0,0,9,11,0.1,0.182,0.1,0.282,0.142,657277
2019,6,2,34,15,6,1,1,79,110,0.225,0.282,0.333,0.615,0.267,650489
2019,14,4,29,22,6,1,5,82,134,0.293,0.388,0.491,0.879,0.375,669256
2019,11,0,22,9,2,1,1,60,84,0.178,0.286,0.274,0.56,0.254,644374
2019,0,0,1,0,0,0,0,3,3,0,0,0,0,0,571917
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,622772
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,622766
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,606959
2019,0,0,2,1,0,0,0,4,5,0.2,0.2,0.2,0.4,0.174,624133
2019,4,1,7,2,0,0,2,21,30,0.16,0.3,0.4,0.7,0.303,607333
2019,1,0,10,1,0,0,0,22,24,0.043,0.083,0.043,0.126,0.065,622694
2019,1,0,9,1,0,0,0,24,26,0.04,0.077,0.04,0.117,0.06,657141
2019,1,0,7,4,3,0,0,13,21,0.35,0.381,0.5,0.881,0.372,593528
2019,0,0,1,1,0,0,0,1,2,0.5,0.5,0.5,1,0.435,445926
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,595465
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,623184
2019,1,0,9,0,0,0,0,19,20,0,0.05,0,0.05,0.034,592767
2019,0,0,3,0,0,0,0,3,3,0,0,0,0,0,519076
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,642558
2019,3,0,12,4,2,0,2,32,43,0.2,0.256,0.4,0.656,0.276,592660
2019,0,0,3,1,0,0,0,3,4,0.25,0.25,0.25,0.5,0.218,608337
2019,0,0,5,0,0,0,0,7,7,0,0,0,0,0,543037
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,519455
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,571670
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,598286
2019,0,1,0,1,0,0,0,3,5,0.25,0.4,0.25,0.65,0.318,663531
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,434378
2019,0,0,4,0,0,0,0,5,5,0,0,0,0,0,467100
