batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso
663611,"Madrigal, Nick",R,R,3,95.8,25,0.26,0.2333333333333333,0.366,0
663647,"Hayes, Ke'Bryan",R,R,1,NA,NA,NA,0,NA,0
663656,"Tucker, Kyle",L,R,3,93.85,21,0.363,0,0.521,0
663697,"India, Jonathan",R,L,3,62.7,-1,0.443,0.3,0.405,0
663697,"India, Jonathan",R,R,2,79.6,32.5,0.2145,0.45,0.2015,0
663757,"Grisham, Trent",L,L,3,96.85,32.5,0.21999999999999997,0,0.3855,0
663757,"Grisham, Trent",L,R,1,107.8,11,0.903,0.9,0.929,0
663886,"Stephenson, Tyler",R,L,3,98.80000000000001,24.5,0.526,0.2333333333333333,0.7395,0
663886,"Stephenson, Tyler",R,R,1,NA,NA,NA,0,NA,0
664023,"Happ, Ian",L,R,4,98.73333333333333,16,0.32266666666666666,0.625,0.49366666666666664,0.5
664023,"Happ, Ian",R,L,1,106.7,7,0.637,0.9,0.604,0
664056,"Bader, Harrison",R,L,1,53.9,21,0.314,0,0.283,0
664056,"Bader, Harrison",R,R,3,85.9,-16.666666666666668,0.31466666666666665,0.7166666666666667,0.29266666666666663,0.3333333333333333
664058,"Fletcher, David",R,L,2,73.1,-25.5,0.28,0,0.2565,0
664058,"Fletcher, David",R,R,1,95.3,14,0.914,1.6,0.901,2
664702,"Straw, Myles",R,R,5,91.36666666666667,13.666666666666666,0.307,0.5,0.29033333333333333,0
665120,"Walsh, Jared",L,L,2,95.8,18,0.437,0,0.471,0
665120,"Walsh, Jared",L,R,1,88.7,-3,0.197,0,0.177,0
665161,"Peña, Jeremy",R,R,4,77.4,7.5,0.276,0,0.2565,0
665742,"Soto, Juan",L,R,4,100.25,12,0.591,0.675,1.117,0.75
665926,"Giménez, Andrés",L,L,1,78.7,73,0.009,0,0.009,0
665926,"Giménez, Andrés",L,R,3,88,-3,0.264,0.3,0.252,0
666176,"Adell, Jo",R,L,2,NA,NA,NA,0,NA,0
666176,"Adell, Jo",R,R,1,NA,NA,NA,0,NA,0
666179,"Beer, Seth",L,L,1,88.9,-9,0.151,0.9,0.142,0
666179,"Beer, Seth",L,R,3,93.75,41,0.1545,0.6666666666666666,0.299,1
666185,"Carlson, Dylan",L,R,4,94.8,38.5,0.20550000000000002,0.3125,0.233,0.25
666185,"Carlson, Dylan",R,L,1,NA,NA,NA,0.7,NA,0
668804,"Reynolds, Bryan",L,R,3,88.1,24.5,0.3,0.3,0.3115,0
668804,"Reynolds, Bryan",R,L,1,NA,NA,NA,0,NA,0
669016,"Marsh, Brandon",L,L,2,93.1,23,0.177,0,0.218,0
669016,"Marsh, Brandon",L,R,1,NA,NA,NA,0.7,NA,0
669222,"Senzel, Nick",R,L,3,89.66666666666667,5,0.43533333333333335,0.3,0.40599999999999997,0
669222,"Senzel, Nick",R,R,1,NA,NA,NA,0,NA,0
669242,"Edman, Tommy",L,R,3,76.85,-26,0.2445,0,0.23299999999999998,0
669242,"Edman, Tommy",R,L,1,112.6,20,0.891,2,1.529,3
669450,"Hummel, Cooper",L,R,1,NA,NA,NA,0.7,NA,0
670032,"Lopez, Nicky",L,R,3,66.9,-7.5,0.3425,0.5,0.451,0.3333333333333333
670541,"Alvarez, Yordan",L,L,1,94.3,-31,0.097,0,0.087,0
670541,"Alvarez, Yordan",L,R,3,103.6,33,0.567,0.9,1.1405,1
670712,"Brosseau, Mike",R,L,1,NA,NA,NA,0.7,NA,0
670712,"Brosseau, Mike",R,R,1,NA,NA,NA,0,NA,0
672695,"Perdomo, Geraldo",L,R,3,82.5,-29,0.043,0.2333333333333333,0.039,0
673490,"Kim, Ha-Seong",R,L,3,98.8,36,0.251,0.2333333333333333,0.509,0
673490,"Kim, Ha-Seong",R,R,1,69.8,-15,0.06,0,0.06,0
673548,"Suzuki, Seiya",R,L,1,NA,NA,NA,0.7,NA,0
673548,"Suzuki, Seiya",R,R,3,82.9,12,0.623,0.5333333333333333,0.574,0
676801,"McCormick, Chas",R,R,4,94.2,8.333333333333334,0.33266666666666667,0.625,0.41500000000000004,0.5
677951,"Witt Jr., Bobby",R,R,4,91.575,9.25,0.17925,0.3125,0.1915,0.25
680757,"Kwan, Steven",L,L,1,NA,NA,NA,0.7,NA,0
680757,"Kwan, Steven",L,R,3,95.25,3.5,0.4485,0.5333333333333333,0.41800000000000004,0
680911,"Miller, Owen",R,L,1,NA,NA,NA,0.7,NA,0
