batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
607043,"Nimmo, Brandon",L,R,228,91.21142857142857,9.557142857142857,0.3488428571428571,0.3513157894736842,0.4077928571428571,0.14473684210526316,0.09285714285714286
607054,"Peterson, Jace",L,L,39,82.11923076923077,9.76923076923077,0.304,0.2153846153846154,0.2965,0,0
607054,"Peterson, Jace",L,R,205,85.215625,13.2109375,0.3012109375,0.30048780487804877,0.347421875,0.1024390243902439,0.0625
607208,"Turner, Trea",R,L,100,88.57464788732395,15.661971830985916,0.3389577464788732,0.2975,0.4091830985915493,0.17,0.09859154929577464
607208,"Turner, Trea",R,R,231,89.72670807453416,14.944099378881987,0.3201614906832298,0.30844155844155846,0.3447391304347826,0.1038961038961039,0.037267080745341616
607461,"Beaty, Matt",L,R,11,77.5,-2.125,0.253625,0.3409090909090909,0.2455,0.09090909090909091,0
607680,"Pillar, Kevin",R,L,60,88.88043478260869,14.543478260869565,0.404,0.3875,0.46645652173913044,0.2833333333333333,0.15217391304347827
607680,"Pillar, Kevin",R,R,44,86.89655172413794,23.689655172413794,0.26362068965517244,0.30568181818181817,0.2960689655172414,0.1590909090909091,0.034482758620689655
607732,"Stallings, Jacob",R,L,24,87.75,-2.5625,0.337375,0.2708333333333333,0.3556875,0.125,0.125
607732,"Stallings, Jacob",R,R,98,88.97931034482758,6.7,0.2752413793103448,0.23265306122448978,0.3000689655172414,0.030612244897959183,0.06896551724137931
608070,"Ramírez, José",L,R,212,89.25649717514125,20.502824858757062,0.33627118644067794,0.41415094339622643,0.38124858757062147,0.20754716981132076,0.06779661016949153
608070,"Ramírez, José",R,L,93,89.43048780487804,19.5,0.2818536585365854,0.26881720430107525,0.3363780487804878,0.21505376344086022,0.08536585365853659
608070,"Ramírez, José",R,R,1,66.5,58,0.009,0,0.008,0,0
608324,"Bregman, Alex",R,L,86,88.15,21.08823529411765,0.2654705882352941,0.27732558139534885,0.2957941176470588,0.06976744186046512,0.029411764705882353
608324,"Bregman, Alex",R,R,245,88.44581005586592,19.463687150837988,0.31543575418994413,0.35428571428571426,0.35556983240223466,0.1510204081632653,0.03910614525139665
608336,"Gallo, Joey",L,L,35,89.68823529411765,13.764705882352942,0.3724705882352941,0.2857142857142857,0.4803529411764706,0.14285714285714285,0.11764705882352941
608336,"Gallo, Joey",L,R,156,94.40547945205479,31.17808219178082,0.2907260273972603,0.34262820512820513,0.45523287671232876,0.23717948717948717,0.2054794520547945
