pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
543507,R,R,6,83.36,11.2,0.0714,0.11666666666666665,0.066,0,0
543521,R,L,3,NA,NA,NA,0,NA,0,NA
543521,R,R,9,91.98,23.4,0.1852,0.32222222222222224,0.2178,0.3333333333333333,0
543606,R,L,21,82.96666666666667,15.555555555555555,0.39805555555555555,0.5047619047619047,0.40205555555555555,0.14285714285714285,0.05555555555555555
543606,R,R,20,90.68125,22.125,0.347875,0.34,0.3443125,0,0.0625
543766,R,L,5,89.25,-16.5,0.3685,0.45999999999999996,0.354,0,0
543766,R,R,5,99.96666666666667,25,0.457,0.32,0.5696666666666667,0,0.3333333333333333
543829,R,L,1,NA,NA,NA,0.7,NA,0,NA
543829,R,R,7,92.6,32.75,0.36200000000000004,0.7142857142857143,0.5577500000000001,0.42857142857142855,0.25
544727,R,L,5,86.13333333333333,6.333333333333333,0.09833333333333333,0,0.09133333333333334,0,0
544727,R,R,6,94.76666666666667,-19.333333333333332,0.25733333333333336,0.45,0.23266666666666666,0,0
545343,R,L,5,87.25,25,0.3185,0.39,0.35,0.2,0
545343,R,R,3,88.63333333333334,5,0.139,0.3,0.15,0,0
547001,R,L,3,86.56666666666666,16,0.22733333333333333,0,0.31066666666666665,0,0
547001,R,R,2,91.9,26,0.14,0.35,0.174,0,0
547179,R,L,7,85.02857142857142,-13.428571428571429,0.3261428571428572,0.4642857142857143,0.48628571428571427,0.5714285714285714,0.14285714285714285
547179,R,R,13,92.53333333333333,-1.8333333333333333,0.16083333333333333,0,0.15533333333333332,0,0
547943,L,L,2,84.15,24.5,0.07,0,0.07100000000000001,0,0
547943,L,R,15,95.85555555555555,2.2222222222222223,0.4292222222222222,0.49,0.5356666666666667,0.26666666666666666,0.1111111111111111
547973,L,L,2,NA,NA,NA,0.35,NA,0,NA
547973,L,R,13,88.12,24.4,0.2082,0.23076923076923075,0.1936,0,0
548384,L,L,4,90,3.3333333333333335,0.2846666666666667,0,0.288,0,0
548384,L,R,8,81.28,-12.2,0.379,0.225,0.3588,0,0
548389,R,L,12,80.79,4.3,0.2714,0.20833333333333334,0.2707,0,0
548389,R,R,12,87.7625,8,0.198375,0.22083333333333333,0.28475,0.08333333333333333,0.125
552640,R,L,4,NA,NA,NA,0.175,NA,0,NA
552640,R,R,9,89.92857142857143,0.7142857142857143,0.2742857142857143,0.4166666666666667,0.3492857142857143,0.3333333333333333,0.14285714285714285
554340,R,L,7,87.8,25.8,0.0726,0.09999999999999999,0.0668,0,0
554340,R,R,6,86.3,4.4,0.2986,0.15,0.2832,0,0
554430,R,L,11,86.05,17.75,0.3185,0.24545454545454545,0.339375,0.2727272727272727,0.125
554430,R,R,8,86.8,17,0.2532,0.2875,0.2698,0,0
554431,L,L,3,84.95,61,0.0075,0,0.008,0,0
554431,L,R,7,92.10000000000001,10.142857142857142,0.214,0.1285714285714286,0.21314285714285713,0,0
570257,L,L,5,80.95,-11,0.1115,0.13999999999999999,0.113,0,0
570257,L,R,6,88.5,15.666666666666666,0.6960000000000001,0.6,1.02,0.5,0.3333333333333333
570488,R,L,7,84.05000000000001,-12,0.137,0.09999999999999999,0.1255,0,0
570488,R,R,7,102.56666666666666,21.333333333333332,0.35233333333333333,0.2785714285714286,0.43766666666666665,0.14285714285714285,0
570632,R,L,6,82.1,-10.25,0.20775,0.45,0.3085,0.5,0.25
570632,R,R,14,90.64444444444445,23,0.2238888888888889,0.2785714285714286,0.29555555555555557,0,0.1111111111111111
570663,R,L,3,90.9,48.5,0.2685,0,0.29100000000000004,0,0
570663,R,R,9,92.58333333333333,28.166666666666668,0.3076666666666667,0.21666666666666667,0.3358333333333333,0.1111111111111111,0.16666666666666666
570666,R,L,5,87.48,10.4,0.2068,0.36,0.2012,0,0
570666,R,R,13,81.84,1.6,0.3787,0.38461538461538464,0.4229,0,0.1
571479,R,L,1,91.2,3,0.391,0,0.382,0,0
571479,R,R,3,66.7,13,0.346,0,0.311,0,0
571578,L,L,7,64.76666666666667,-25,0.22466666666666665,0.45714285714285713,0.22033333333333333,0,0
571578,L,R,31,88.05,14.318181818181818,0.44381818181818183,0.4838709677419355,0.4689090909090909,0.12903225806451613,0.045454545454545456
571656,R,L,4,89.73333333333333,22.666666666666668,0.5276666666666667,0.7125,0.5166666666666667,0.25,0
571656,R,R,11,88.8,5.833333333333333,0.37283333333333335,0.34545454545454546,0.5395,0.2727272727272727,0.16666666666666666
571710,R,L,5,107.3,26,0.963,0.4,1.957,0.6,1
571710,R,R,7,93.625,32.75,0.22425,0.1285714285714286,0.24725,0,0
571760,L,L,3,95.4,-6,0.32366666666666666,0.7166666666666667,0.353,0.3333333333333333,0
571760,L,R,15,91.14444444444445,16.444444444444443,0.25577777777777777,0.21333333333333332,0.2767777777777778,0.13333333333333333,0
571800,R,L,4,91.825,39.75,0.30874999999999997,0.3125,0.324,0.25,0
571800,R,R,15,92.26428571428572,16.857142857142858,0.31692857142857145,0.3933333333333333,0.3575714285714286,0.13333333333333333,0.07142857142857142
571863,R,L,2,101.7,18,0.42,0,0.492,0,0
571863,R,R,2,98.2,27.5,0.467,0.45,0.4615,0,0
571901,L,L,8,89.36,-18.6,0.1786,0.0875,0.175,0,0
571901,L,R,9,86.02857142857142,3.857142857142857,0.17928571428571427,0.1,0.17842857142857144,0,0
571927,L,L,4,75.55,23.5,0.6125,0.225,0.5775,0,0
571927,L,R,15,96.92727272727272,4.545454545454546,0.5708181818181818,0.6233333333333333,0.6066363636363636,0.26666666666666666,0.09090909090909091
571945,R,L,26,89.50625,18.5,0.22943750000000002,0.21923076923076923,0.227375,0,0
571945,R,R,17,89.7875,23.125,0.2976875,0.3058823529411765,0.3623125,0.11764705882352941,0.125
571948,L,L,1,48,59,0.023,0,0.021,0,0
571948,L,R,10,85.8625,17.875,0.21725,0.09,0.205375,0,0
571976,R,L,1,101.2,36,0.351,2,0.696,3,0
571976,R,R,4,87.6,41,0.26649999999999996,0.5,0.439,0.75,0.25
572070,R,L,3,88.26666666666667,-6.333333333333333,0.19533333333333336,0,0.25166666666666665,0,0
572070,R,R,4,107.95,22.5,0.874,1.1625,1.5655000000000001,1,1
572193,R,L,7,96.6,24.25,0.36075,0.38571428571428573,0.68325,0.42857142857142855,0.25
572193,R,R,11,87.62857142857143,23,0.18628571428571428,0.18181818181818182,0.20700000000000002,0.2727272727272727,0
572383,L,L,3,84.76666666666667,15.333333333333334,0.39066666666666666,1.0833333333333333,0.49233333333333335,1.3333333333333333,0
572383,L,R,1,77.5,22,0.894,0.9,0.87,0,0
572403,R,L,5,82.93333333333334,25,0.52,0.32,0.48933333333333334,0,0
572403,R,R,5,84.1,9.333333333333334,0.08566666666666667,0,0.08233333333333333,0,0
572955,R,L,13,87.8,-6.25,0.33775,0.23076923076923075,0.3255,0,0
572955,R,R,8,87,-7.4,0.3246,0.58125,0.3268,0.125,0
572971,L,L,2,92.85,16.5,0.877,1.075,0.8714999999999999,0.5,0
572971,L,R,19,85.19285714285715,7.071428571428571,0.26207142857142857,0.24736842105263157,0.274,0.15789473684210525,0.07142857142857142
573009,L,L,5,91.25,18.5,0.49,0.36,0.46775,0,0
573009,L,R,5,76.15,-13.75,0.19475,0.13999999999999999,0.2485,0,0
573124,L,L,2,86.85,2,0.317,0.45,0.2995,0,0
573124,L,R,8,101.46,6.6,0.5402,0,0.6484,0,0.2
573186,R,L,17,92.50714285714285,-1,0.27635714285714286,0.31470588235294117,0.27335714285714285,0.17647058823529413,0
573186,R,R,21,93.17692307692307,13.307692307692308,0.33999999999999997,0.3761904761904762,0.476,0.2857142857142857,0.15384615384615385
573204,L,L,6,69.30000000000001,36.5,0.056,0.4666666666666666,0.0505,0,0
573204,L,R,5,80.96,9.4,0.1698,0.18,0.16720000000000002,0,0
579328,L,L,2,90.45,11.5,0.2655,0.625,0.268,0.5,0
579328,L,R,14,97.89,13.8,0.3195,0.4607142857142857,0.3846,0.2857142857142857,0
592094,R,L,3,81.4,51,0.4325,0,0.4275,0,0
592094,R,R,6,85.5,31.333333333333332,0.034333333333333334,0,0.034666666666666665,0,0
592332,R,L,20,92.94705882352942,11.294117647058824,0.41111764705882353,0.315,0.4161764705882353,0,0
592332,R,R,25,90.62857142857143,11.357142857142858,0.5126428571428572,0.28,0.54,0.08,0.14285714285714285
592351,R,L,1,95.2,-14,0.169,0,0.152,0,0
592351,R,R,15,93.66666666666667,7.444444444444445,0.3478888888888889,0.2733333333333333,0.33244444444444443,0,0
592390,R,L,7,76.2,31.166666666666668,0.17816666666666667,0.22857142857142856,0.18083333333333335,0,0
592390,R,R,9,86.07142857142857,28.285714285714285,0.2777142857142857,0.43333333333333335,0.262,0.2222222222222222,0
592473,L,L,7,84,-1,0.245,0.5571428571428572,0.22966666666666666,0,0
592473,L,R,5,88.78,11,0.3454,0.32,0.419,0.4,0.2
592662,L,L,6,98.44999999999999,33,0.1315,0.2333333333333333,0.1675,0,0
592662,L,R,50,94.2421052631579,7.868421052631579,0.35289473684210526,0.399,0.4406578947368421,0.26,0.13157894736842105
592741,L,L,7,74.325,-2.25,0.33975,0.1285714285714286,0.328,0,0
592741,L,R,5,100.7,25,0.56,0.13999999999999999,0.884,0,1
592761,L,L,7,82.85,19,0.2723333333333333,0.38571428571428573,0.2991666666666667,0,0
592761,L,R,19,90.01,33.3,0.3189,0.7078947368421052,0.5884,0.6842105263157895,0.3
592767,L,L,2,70.35,-24.5,0.089,0,0.08,0,0
592767,L,R,16,75.79333333333334,-5.6,0.22766666666666668,0.2125,0.221,0.125,0
592773,R,L,3,93.55,19,0.2715,0,0.255,0,0
592773,R,R,3,108.8,32,0.894,1.1333333333333333,1.861,1,1
592789,R,L,11,82.21111111111111,-4.444444444444445,0.26222222222222225,0.20909090909090908,0.24611111111111111,0,0
592789,R,R,9,83.28571428571429,12.285714285714286,0.1524285714285714,0.17777777777777778,0.14100000000000001,0,0
592791,R,L,2,NA,NA,NA,0,NA,0,NA
592791,R,R,18,93.02857142857142,16.928571428571427,0.31607142857142856,0.33055555555555555,0.33471428571428574,0.2222222222222222,0
592804,R,L,7,94.44,29.4,0.31880000000000003,0.40714285714285714,0.3448,0.14285714285714285,0
592804,R,R,10,83.84285714285714,19.714285714285715,0.19285714285714287,0.395,0.21985714285714286,0.1,0
